"Date","BAB3mth"
2010,4.2
2010.08333333333,4.16
2010.16666666667,4.33
2010.25,4.55
2010.33333333333,4.81
2010.41666666667,4.89
2010.5,4.84
2010.58333333333,4.74
2010.66666666667,4.82
2010.75,4.81
2010.83333333333,5.02
2010.91666666667,5.03
2011,4.96
2011.08333333333,4.92
2011.16666666667,4.92
2011.25,4.9
2011.33333333333,5
2011.41666666667,4.99
2011.5,4.96
2011.58333333333,4.86
2011.66666666667,4.81
2011.75,4.73
2011.83333333333,4.62
2011.91666666667,4.51
2012,4.41
2012.08333333333,4.37
2012.16666666667,4.44
2012.25,4.2
2012.33333333333,3.66
2012.41666666667,3.49
2012.5,3.55
2012.58333333333,3.62
2012.66666666667,3.49
2012.75,3.16
2012.83333333333,3.24
2012.91666666667,3.11
2013,3
2013.08333333333,2.94
2013.16666666667,3.05
2013.25,3.02
2013.33333333333,2.82
2013.41666666667,2.8
2013.5,2.76
2013.58333333333,2.6
2013.66666666667,2.58
2013.75,2.58
2013.83333333333,2.58
2013.91666666667,2.6
2014,2.62
2014.08333333333,2.63
2014.16666666667,2.65
2014.25,2.68
2014.33333333333,2.69
2014.41666666667,2.7
2014.5,2.65
2014.58333333333,2.63
2014.66666666667,2.66
2014.75,2.72
2014.83333333333,2.75
2014.91666666667,2.75
2015,2.7
2015.08333333333,2.36
2015.16666666667,2.3
2015.25,2.25
2015.33333333333,2.15
2015.41666666667,2.15
2015.5,2.14
2015.58333333333,2.14
2015.66666666667,2.17
2015.75,2.15
2015.83333333333,2.22
2015.91666666667,2.34
2016,2.3
2016.08333333333,2.28
2016.16666666667,2.31
2016.25,2.26
2016.33333333333,2
2016.41666666667,1.99
2016.5,1.93
2016.58333333333,1.76
2016.66666666667,1.73
2016.75,1.74
2016.83333333333,1.76
2016.91666666667,1.78
2017,1.78
2017.08333333333,1.78
2017.16666666667,1.79
2017.25,1.77
2017.33333333333,1.73
2017.41666666667,1.72
2017.5,1.7
2017.58333333333,1.7
2017.66666666667,1.72
2017.75,1.7
2017.83333333333,1.72
2017.91666666667,1.77
2018,1.79
2018.08333333333,1.77
2018.16666666667,1.93
2018.25,2.06
2018.33333333333,1.96
2018.41666666667,2.07
2018.5,2.02
2018.58333333333,1.96
2018.66666666667,1.93
2018.75,1.93
2018.83333333333,1.94
2018.91666666667,2.02
2019,2.07
2019.08333333333,1.96
2019.16666666667,1.83
2019.25,1.68
2019.33333333333,1.54
2019.41666666667,1.29
2019.5,1.11
2019.58333333333,0.98
2019.66666666667,0.98
2019.75,0.88
2019.83333333333,0.91
2019.91666666667,0.9
2020,0.89
2020.08333333333,0.89
2020.16666666667,0.53
2020.25,0.17
2020.33333333333,0.1
2020.41666666667,0.1
2020.5,0.1
2020.58333333333,0.1
2020.66666666667,0.09
2020.75,0.07
2020.83333333333,0.02
2020.91666666667,0.02
2021,0.01
2021.08333333333,0.01
2021.16666666667,0.03
2021.25,0.04
2021.33333333333,0.04
2021.41666666667,0.03
2021.5,0.02
2021.58333333333,0.01
2021.66666666667,0.01
2021.75,0.04
2021.83333333333,0.04
2021.91666666667,0.06
2022,0.07
2022.08333333333,0.07
2022.16666666667,0.17
2022.25,0.41
2022.33333333333,1
2022.41666666667,1.6
2022.5,2.07
2022.58333333333,2.31
2022.66666666667,2.76
2022.75,2.95
2022.83333333333,3.06
2022.91666666667,3.17
2023,3.32
2023.08333333333,3.46
2023.16666666667,3.64
2023.25,3.66
2023.33333333333,3.9
2023.41666666667,4.25
2023.5,4.3
2023.58333333333,4.15
2023.66666666667,4.13
2023.75,4.21
2023.83333333333,4.38
2023.91666666667,4.35
2024,4.35
2024.08333333333,4.34
2024.16666666667,4.35
2024.25,4.37
2024.33333333333,4.36
2024.41666666667,4.39
2024.5,4.46
2024.58333333333,4.38
2024.66666666667,4.42
2024.75,4.41
2024.83333333333,4.42
2024.91666666667,4.44
2025,4.33
2025.08333333333,4.17
2025.16666666667,4.12
2025.25,4.02
2025.33333333333,3.78
2025.41666666667,3.69
