Date,Food,Hhold,Clothing,DeptStores,Other,Restaurants,Total
Apr-82,1162.6,592.3,359.9,460.1,479.1,342.4,3396.4
May-82,1150.9,629.6,386.6,502.6,486.1,342.1,3497.9
Jun-82,1160,607.4,350.5,443.8,467.5,328.7,3357.8
Jul-82,1206.4,632.4,359.3,459.1,491.1,338.5,3486.8
Aug-82,1152.5,622.6,325.2,438.4,485.7,331.5,3355.9
Sep-82,1189.1,622,346.3,465.1,489.9,341.9,3454.3
Oct-82,1247.4,637.8,354.2,452.7,500.9,358.4,3551.5
Nov-82,1280.7,717.2,403.9,522.9,531.1,374.7,3830.5
Dec-82,1483.7,1077,571.4,889.3,725.2,433.1,5179.7
Jan-83,1202.8,615.9,326.5,379.2,491.4,368.6,3384.5
Feb-83,1224.2,621.7,298.7,378,499.1,348.1,3369.8
Mar-83,1332.4,719.1,377.2,472.1,538.7,365.8,3805.3
Apr-83,1270.9,633.4,412.5,503.4,493.8,351.1,3665.1
May-83,1251.7,697.9,418.5,510.6,520.8,360.5,3760
Jun-83,1269.3,661.8,383,462.4,507.3,347.1,3630.8
Jul-83,1292.8,656.9,384,468.3,519.9,364.5,3686.5
Aug-83,1337,711,379.9,458.2,554.2,376,3816.3
Sep-83,1322.8,690.3,402,482.7,547.9,377.6,3823.4
Oct-83,1355.4,714.6,395.8,485.3,553.5,374.1,3878.7
Nov-83,1410.9,815.5,431.7,568.7,594.1,390.6,4211.5
Dec-83,1642.3,1197.8,626,963.7,795.5,459,5684.3
Jan-84,1314.5,684.2,357.6,414.7,538.8,388.8,3698.5
Feb-84,1335.4,698.5,346,414.5,561.6,377.1,3733.2
Mar-84,1388.8,746,419,484.7,574.6,397.8,4010.9
Apr-84,1346.5,634.7,406.9,487.3,529.7,383.3,3788.4
May-84,1404.3,755,480.9,597.9,590.1,414,4242.3
Jun-84,1367.6,677.2,403.1,500.4,542.2,381.5,3872.1
Jul-84,1361.6,708.7,411.9,543.4,559.4,393,3978
Aug-84,1436.7,740.9,414.5,503.4,591.6,409,4096.1
Sep-84,1355.6,679,392.1,522.8,557.2,394.7,3901.4
Oct-84,1462.7,769.3,446.3,556.6,614.5,424.5,4274
Nov-84,1501.4,859.3,484.8,623.2,651.8,436.5,4557.1
Dec-84,1686.6,1174.6,638.8,1039.4,820,488.1,5847.5
Jan-85,1484.7,703,401.6,516.3,598.9,425.6,4130
Feb-85,1397,669.4,368.2,452.5,577.9,391.8,3856.8
Mar-85,1495,742.2,418.3,525.8,599.6,416.1,4196.9
Apr-85,1474.9,721.6,450.3,587.7,574.6,419.8,4228.9
May-85,1556.8,855.8,540.1,700.3,639.9,446.2,4739.1
Jun-85,1453.7,742.3,452.3,561.8,573.5,406.8,4190.3
Jul-85,1558.6,799.9,476.4,602.8,628.6,448.5,4514.6
Aug-85,1585.7,815.5,467,582.5,649.6,466,4566.3
Sep-85,1518,776.8,452.6,563.1,614.7,455.2,4380.3
Oct-85,1655.7,881.3,522.9,637.1,667,493.6,4857.7
Nov-85,1667.3,973.2,557.3,697.1,704.6,505.6,5105
Dec-85,1867.3,1351.7,749.7,1187.5,908.1,563.9,6628.2
Jan-86,1674.4,812.6,447,570.5,666.1,504.3,4674.9
Feb-86,1558.5,763.6,399.4,478.2,641.5,452.9,4294.1
Mar-86,1676.6,768,419.6,547.4,636.2,480.3,4528
Apr-86,1643.7,827,504.5,594.3,662.4,497.2,4729
May-86,1746.5,935.1,588.2,751.6,709.8,530.8,5261.9
Jun-86,1638.5,833.6,485.7,553.4,641.8,484.8,4637.8
Jul-86,1721.8,878.2,507.2,663.2,692.9,526.3,4989.5
Aug-86,1720.9,898.1,484.5,581.1,700.8,538.4,4923.8
Sep-86,1705.7,862.3,496.9,661.9,698.1,537.4,4962.2
Oct-86,1816.4,950.6,545.5,665.6,756.7,570.4,5305.1
Nov-86,1774.7,968.2,545.8,700.9,750.1,563.8,5303.5
Dec-86,2073.6,1414,804.4,1367.9,1017,663.2,7340
Jan-87,1830.7,861.1,461.1,613.9,726.9,571.6,5065.3
Feb-87,1710.1,812.5,417.6,513.2,701.3,525.1,4679.8
Mar-87,1791,862.3,479.3,599.9,716.8,543.6,4993
Apr-87,1824.4,846.8,528.6,674.1,733.9,558.1,5166
May-87,1823.3,933.6,585.4,714,764.8,565.1,5386.3
Jun-87,1761.9,886.2,529.5,670.5,728.4,542.3,5118.9
Jul-87,1856.9,958.9,579.7,720.9,779.7,598.6,5494.6
Aug-87,1821,938.2,518.6,601.6,773.7,583.7,5236.7
Sep-87,1830,953,563.1,672.3,783.9,592.7,5395.1
Oct-87,1942.4,1058.8,596.6,709.1,814.1,623.3,5744.4
Nov-87,1885.9,1084.6,587.2,743.2,822,621.9,5745
Dec-87,2272.4,1576.1,864.5,1460.1,1109.6,739.8,8022.4
Jan-88,1885.1,938.9,487,631,757.4,605,5304.4
Feb-88,1845.2,968.3,502.6,551.1,773.5,586.1,5226.8
Mar-88,2021.6,1035.6,551,678.1,818,625.3,5729.7
